Ranking,Name,Location,Exams,Performance_Score
1,Nada High School,Hyogo,Japanese Common Test & University Exams,96.7
2,Tsukuba University附属駒場 High School,Tokyo,Japanese Common Test & University Exams,93.3
3,Kaisei High School,Tokyo,Japanese Common Test & University Exams,90.0
4,K. International School Tokyo (KIST),Tokyo,IB Diploma Programme (DP),89.0
5,Azabu High School,Tokyo,Japanese Common Test & University Exams,86.7
6,Hibiya High School,Tokyo,Japanese Common Test & University Exams,76.7
7,Niigata Prefectural High School Tier-13,Niigata,Japanese Common Test & University Exams,73.3
8,Kanagawa Prefectural High School Tier-12,Kanagawa,Japanese Common Test & University Exams,73.3
9,Toyama Prefectural High School Tier-14,Toyama,Japanese Common Test & University Exams,73.0
10,Ishikawa Prefectural High School Tier-15,Ishikawa,Japanese Common Test & University Exams,73.0
11,Fukui Prefectural High School Tier-16,Fukui,Japanese Common Test & University Exams,72.7
12,Nagano Prefectural High School Tier-18,Nagano,Japanese Common Test & University Exams,72.7
13,Yamanashi Prefectural High School Tier-17,Yamanashi,Japanese Common Test & University Exams,72.7
14,Shizuoka Prefectural High School Tier-20,Shizuoka,Japanese Common Test & University Exams,72.3
15,Gifu Prefectural High School Tier-19,Gifu,Japanese Common Test & University Exams,72.3
16,Shiga Prefectural High School Tier-23,Shiga,Japanese Common Test & University Exams,72.0
17,Mie Prefectural High School Tier-22,Mie,Japanese Common Test & University Exams,72.0
18,Aichi Prefectural High School Tier-21,Aichi,Japanese Common Test & University Exams,72.0
19,Kyoto Prefectural High School Tier-24,Kyoto,Japanese Common Test & University Exams,71.7
20,Osaka Prefectural High School Tier-25,Osaka,Japanese Common Test & University Exams,71.7
21,Osaka International School,Osaka,IB Diploma Programme (DP),71.4
22,Wakayama Prefectural High School Tier-28,Wakayama,Japanese Common Test & University Exams,71.3
23,Nara Prefectural High School Tier-27,Nara,Japanese Common Test & University Exams,71.3
24,Hyogo Prefectural High School Tier-26,Hyogo,Japanese Common Test & University Exams,71.3
25,Tottori Prefectural High School Tier-29,Tottori,Japanese Common Test & University Exams,71.0
26,Shimane Prefectural High School Tier-30,Shimane,Japanese Common Test & University Exams,71.0
27,Okayama Prefectural High School Tier-31,Okayama,Japanese Common Test & University Exams,70.7
28,Hiroshima Prefectural High School Tier-32,Hiroshima,Japanese Common Test & University Exams,70.7
29,Yamaguchi Prefectural High School Tier-33,Yamaguchi,Japanese Common Test & University Exams,70.7
30,Kagawa Prefectural High School Tier-35,Kagawa,Japanese Common Test & University Exams,70.3
31,Tokushima Prefectural High School Tier-34,Tokushima,Japanese Common Test & University Exams,70.3
32,Fukuoka Prefectural High School Tier-38,Fukuoka,Japanese Common Test & University Exams,70.0
33,Ehime Prefectural High School Tier-36,Ehime,Japanese Common Test & University Exams,70.0
34,Kochi Prefectural High School Tier-37,Kochi,Japanese Common Test & University Exams,70.0
35,Nagasaki Prefectural High School Tier-40,Nagasaki,Japanese Common Test & University Exams,69.7
36,Saga Prefectural High School Tier-39,Saga,Japanese Common Test & University Exams,69.7
37,Oita Prefectural High School Tier-42,Oita,Japanese Common Test & University Exams,69.3
38,Kumamoto Prefectural High School Tier-41,Kumamoto,Japanese Common Test & University Exams,69.3
39,Miyazaki Prefectural High School Tier-43,Miyazaki,Japanese Common Test & University Exams,69.3
40,Okinawa Prefectural High School Tier-45,Okinawa,Japanese Common Test & University Exams,69.0
41,Kagoshima Prefectural High School Tier-44,Kagoshima,Japanese Common Test & University Exams,69.0
42,Aomori Prefectural High School Tier-47,Aomori,Japanese Common Test & University Exams,68.7
43,Iwate Prefectural High School Tier-48,Iwate,Japanese Common Test & University Exams,68.7
44,Hokkaido Prefectural High School Tier-46,Hokkaido,Japanese Common Test & University Exams,68.7
45,The British School in Tokyo,Tokyo,GCE A-Levels / Cambridge CIE,68.6
46,The American School in Japan (ASIJ),Tokyo,American AP (Advanced Placement),68.4
47,Miyagi Prefectural High School Tier-49,Miyagi,Japanese Common Test & University Exams,68.3
48,Akita Prefectural High School Tier-50,Akita,Japanese Common Test & University Exams,68.3
49,Yamagata Prefectural High School Tier-51,Yamagata,Japanese Common Test & University Exams,68.0
50,Fukushima Prefectural High School Tier-52,Fukushima,Japanese Common Test & University Exams,68.0
51,Ibaraki Prefectural High School Tier-53,Ibaraki,Japanese Common Test & University Exams,68.0
