National Rank,School Name,Location,Senior Exit Exams Taken
1,Kaisei High School,Tokyo (Arakawa),Japanese Common Test & University Exams
2,Azabu High School,Tokyo (Minato),Japanese Common Test & University Exams
3,Musashi High School,Tokyo (Nerima),Japanese Common Test & University Exams
4,Hibiya High School,Tokyo (Chiyoda),Japanese Common Test & University Exams
5,Nishi High School,Tokyo (Suginami),Japanese Common Test & University Exams
6,Komaeba High School (Tsukuba Univ. Senior HS),Tokyo (Bunkyo),Japanese Common Test & University Exams
7,Tsukuba University High School,Tokyo (Bunkyo),Japanese Common Test & University Exams
8,Ouka Gakuen / Tokyo Gakugei Univ. Senior HS,Tokyo (Setagaya),Japanese Common Test & University Exams
9,Asano High School,"Yokohama, Kanagawa",Japanese Common Test & University Exams
10,Eiko Gakuen High School,"Kamakura, Kanagawa",Japanese Common Test & University Exams
11,Seiko Gakuin High School,"Yokohama, Kanagawa",Japanese Common Test & University Exams
12,Shonan High School,"Fujisawa, Kanagawa",Japanese Common Test & University Exams
13,Urawa High School (Prefectural),"Urawa, Saitama",Japanese Common Test & University Exams
14,Omiya High School,"Omiya, Saitama",Japanese Common Test & University Exams
15,Chiba High School (Prefectural),"Chiba City, Chiba",Japanese Common Test & University Exams
16,Funabashi High School,"Funabashi, Chiba",Japanese Common Test & University Exams
17,Shibakuromaku (Shibuya K教育Gakuen Makuhari),"Chiba City, Chiba",Japanese Common Test & University Exams
18,Shibuya K教育Gakuen Shibuya HS,Tokyo (Shibuya),Japanese Common Test & University Exams
19,Waseda University Senior High School,Tokyo (Nerima),Japanese Common Test & Waseda Internal Exams
20,Keio Shiki High School,"Shiki, Saitama",Keio Internal Recommendation Exams
21,Keio Senior High School,"Yokohama, Kanagawa",Keio Internal Recommendation Exams
22,Keio Girls High School,Tokyo (Minato),Keio Internal Recommendation Exams
23,Toyoshimaoka Joshi Gakuen,Tokyo (Toshima),Japanese Common Test & University Exams
24,Ochanomizu University Senior High School,Tokyo (Bunkyo),Japanese Common Test & University Exams
25,Ichikawa High School,"Ichikawa, Chiba",Japanese Common Test & University Exams
26,Toho High School (Toho University),"Narashino, Chiba",Japanese Common Test & University Exams
27,Saitama Prefectural Kawagoe High School,"Kawagoe, Saitama",Japanese Common Test & University Exams
28,Urawa First Girls' High School,"Saitama, Saitama",Japanese Common Test & University Exams
29,Toyama High School,Tokyo (Shinjuku),Japanese Common Test & University Exams
30,Kunitachi High School,Tokyo (Kunitachi),Japanese Common Test & University Exams
31,Hachioji Higashi High School,Tokyo (Hachioji),Japanese Common Test & University Exams
32,Tachikawa High School,Tokyo (Tachikawa),Japanese Common Test & University Exams
33,Koishikawa Secondary School,Tokyo (Bunkyo),Japanese Common Test & University Exams
34,Ouka High School,Tokyo,Japanese Common Test & University Exams
35,Gakushuin Senior High School,Tokyo (Toshima),Gakushuin Internal / Common Test
36,Gakushuin Girls' Senior High School,Tokyo (Shinjuku),Gakushuin Internal / Common Test
37,Meiji University Nakano High School,Tokyo,Meiji Internal Recommendation / Common Test
38,Aoyama Gakuin Senior High School,Tokyo (Shibuya),Aoyama Internal / Common Test
39,Rikkyo Ikebukuro High School,Tokyo,Rikkyo Internal Recommendation Exams
40,Chuo University High School,Tokyo (Bunkyo),Chuo Internal Recommendation Exams
41,Nada High School,"Kobe, Hyogo",Japanese Common Test & University Exams
42,Rakunan High School,"Kyoto City, Kyoto",Japanese Common Test & University Exams
43,Todaiji Gakuen High School,"Nara City, Nara",Japanese Common Test & University Exams
44,Koyo Gakuin High School,"Nishinomiya, Hyogo",Japanese Common Test & University Exams
45,Nishiokatama (Nishiyamato Gakuen HS),"Kawai, Nara",Japanese Common Test & University Exams
46,Osaka Prefectural Kitano High School,"Osaka City, Osaka",Japanese Common Test & University Exams
47,Osaka Prefectural Tennoji High School,"Osaka City, Osaka",Japanese Common Test & University Exams
48,Osaka Prefectural Otemae High School,"Osaka City, Osaka",Japanese Common Test & University Exams
49,Osaka Prefectural Shimizudani High School,"Osaka City, Osaka",Japanese Common Test & University Exams
50,Osaka Prefectural Kozu High School,"Osaka City, Osaka",Japanese Common Test & University Exams
51,Osaka Prefectural Yuhigaoka High School,"Osaka City, Osaka",Japanese Common Test & University Exams
52,Kyoto Prefectural Horikawa High School,"Kyoto City, Kyoto",Japanese Common Test & University Exams
53,Kyoto Prefectural Sagano High School,"Kyoto City, Kyoto",Japanese Common Test & University Exams
54,Kyoto Municipal Saikyo High School,"Kyoto City, Kyoto",Japanese Common Test & University Exams
55,Kobe High School (Prefectural),"Kobe, Hyogo",Japanese Common Test & University Exams
56,Changtian (Nagata High School),"Kobe, Hyogo",Japanese Common Test & University Exams
57,Hakuyo High School,Hyogo,Japanese Common Test & University Exams
58,Himeji Nishi High School,"Himeji, Hyogo",Japanese Common Test & University Exams
59,Takashimaya (Nara Prefectural Nara HS),"Nara City, Nara",Japanese Common Test & University Exams
60,Shounen Secondary School,Nara,Japanese Common Test & University Exams
61,Tokai High School,"Nagoya, Aichi",Japanese Common Test & University Exams
62,Asahigaoka High School,"Nagoya, Aichi",Japanese Common Test & University Exams
63,Okazaki High School,"Okazaki, Aichi",Japanese Common Test & University Exams
64,Ichinomiya High School,"Ichinomiya, Aichi",Japanese Common Test & University Exams
65,Meiwa High School,"Nagoya, Aichi",Japanese Common Test & University Exams
66,Kariya High School,"Kariya, Aichi",Japanese Common Test & University Exams
67,Shizuoka High School,"Shizuoka City, Shizuoka",Japanese Common Test & University Exams
68,Hamamatsu Kita High School,"Hamamatsu, Shizuoka",Japanese Common Test & University Exams
69,Numazu Higashi High School,"Numazu, Shizuoka",Japanese Common Test & University Exams
70,Gifu High School,"Gifu City, Gifu",Japanese Common Test & University Exams
71,Matsumoto Fukashi High School,"Matsumoto, Nagano",Japanese Common Test & University Exams
72,Nagano High School,"Nagano City, Nagano",Japanese Common Test & University Exams
73,Niigata High School,"Niigata City, Niigata",Japanese Common Test & University Exams
74,Kanazawa Izumigaoka High School,"Kanazawa, Ishikawa",Japanese Common Test & University Exams
75,Toyama High School (Prefectural),"Toyama City, Toyama",Japanese Common Test & University Exams
76,Fujishima High School,"Fukui City, Fukui",Japanese Common Test & University Exams
77,Kurume University Secondary High School,"Kurume, Fukuoka",Japanese Common Test & University Exams
78,Shuyukan High School,"Fukuoka City, Fukuoka",Japanese Common Test & University Exams
79,Chikushioka High School,"Fukuoka City, Fukuoka",Japanese Common Test & University Exams
80,Kokura High School,"Kitakyushu, Fukuoka",Japanese Common Test & University Exams
81,Fukuoka High School,"Fukuoka City, Fukuoka",Japanese Common Test & University Exams
82,Kumamoto High School,"Kumamoto City, Kumamoto",Japanese Common Test & University Exams
83,La Salle High School,"Kagoshima City, Kagoshima",Japanese Common Test & University Exams
84,Tsurumaru High School,"Kagoshima City, Kagoshima",Japanese Common Test & University Exams
85,Nagasaki Nishi High School,"Nagasaki City, Nagasaki",Japanese Common Test & University Exams
86,Oita Uenoogaoka High School,"Oita City, Oita",Japanese Common Test & University Exams
87,Miyazaki Omiya High School,"Miyazaki City, Miyazaki",Japanese Common Test & University Exams
88,Daishin High School,Saga,Japanese Common Test & University Exams
89,Hiroshima Gakuin High School,"Hiroshima City, Hiroshima",Japanese Common Test & University Exams
90,Hiroshima University High School,"Hiroshima City, Hiroshima",Japanese Common Test & University Exams
91,Fukuyama High School,Hiroshima,Japanese Common Test & University Exams
92,Okayama Asahi High School,"Okayama City, Okayama",Japanese Common Test & University Exams
93,Daishima High School,Yamaguchi,Japanese Common Test & University Exams
94,Takamatsu High School,"Takamatsu, Kagawa",Japanese Common Test & University Exams
95,Matsuyama Higashi High School,"Matsuyama, Ehime",Japanese Common Test & University Exams
96,Kochi Marunouchi High School,"Kochi City, Kochi",Japanese Common Test & University Exams
97,Tokushima Ichiba High School,Tokushima,Japanese Common Test & University Exams
98,Sapporo Minami High School,"Sapporo, Hokkaido",Japanese Common Test & University Exams
99,Sapporo Kita High School,"Sapporo, Hokkaido",Japanese Common Test & University Exams
100,Sapporo Nishi High School,"Sapporo, Hokkaido",Japanese Common Test & University Exams
101,Sapporo Higashi High School,"Sapporo, Hokkaido",Japanese Common Test & University Exams
102,Hakodate Chubu High School,"Hakodate, Hokkaido",Japanese Common Test & University Exams
103,Sendai No. 1 High School,"Sendai, Miyagi",Japanese Common Test & University Exams
104,Sendai No. 2 High School,"Sendai, Miyagi",Japanese Common Test & University Exams
105,Morioka First High School,"Morioka, Iwate",Japanese Common Test & University Exams
106,Akita High School,"Akita City, Akita",Japanese Common Test & University Exams
107,Yamagata Minami High School,"Yamagata City, Yamagata",Japanese Common Test & University Exams
108,Fukushima High School,"Fukushima City, Fukushima",Japanese Common Test & University Exams
109,Hachinohe High School,"Hachinohe, Aomori",Japanese Common Test & University Exams
110,Meikei High School,"Tsukuba, Ibaraki",Japanese Common Test & University Exams
111,Mito First High School,"Mito, Ibaraki",Japanese Common Test & University Exams
112,Tsuchiura First High School,"Tsuchiura, Ibaraki",Japanese Common Test & University Exams
113,Utsunomiya High School,"Utsunomiya, Tochigi",Japanese Common Test & University Exams
114,Tochigi High School,"Tochigi, Tochigi",Japanese Common Test & University Exams
115,Takasaki High School,"Takasaki, Gunma",Japanese Common Test & University Exams
116,Maebashi High School,"Maebashi, Gunma",Japanese Common Test & University Exams
117,Chiba Higashi High School,"Chiba City, Chiba",Japanese Common Test & University Exams
118,Shinjuku High School,Tokyo (Shinjuku),Japanese Common Test & University Exams
119,Komaba High School,Tokyo (Meguro),Japanese Common Test & University Exams
120,Hakuo High School,Tokyo (Taito),Japanese Common Test & University Exams
121,Ryogoku High School,Tokyo (Sumida),Japanese Common Test & University Exams
122,Ouka Secondary High School,Saitama,Japanese Common Test & University Exams
123,Yokohama Midorigaoka High School,"Yokohama, Kanagawa",Japanese Common Test & University Exams
124,Kawawa High School,"Yokohama, Kanagawa",Japanese Common Test & University Exams
125,Kanagawa Prefectural Tama High School,"Kawasaki, Kanagawa",Japanese Common Test & University Exams
126,Yonezawa Kojokan High School,"Yonezawa, Yamagata",Japanese Common Test & University Exams
127,Hirosaki High School,"Hirosaki, Aomori",Japanese Common Test & University Exams
128,Iwaki High School,"Iwaki, Fukushima",Japanese Common Test & University Exams
129,Asaka High School,"Koriyama, Fukushima",Japanese Common Test & University Exams
130,Nagaoka High School,"Nagaoka, Niigata",Japanese Common Test & University Exams
131,Takada High School,"Joetsu, Niigata",Japanese Common Test & University Exams
132,Kanazawa Nisui High School,"Kanazawa, Ishikawa",Japanese Common Test & University Exams
133,Takaoka High School,"Takaoka, Toyama",Japanese Common Test & University Exams
134,Koshibu High School,Fukui,Japanese Common Test & University Exams
135,Kofu First High School,"Kofu, Yamanashi",Japanese Common Test & University Exams
136,Ueda High School,"Ueda, Nagano",Japanese Common Test & University Exams
137,Shimizu Higashi High School,Shizuoka,Japanese Common Test & University Exams
138,Hamamatsu Nishi High School,"Hamamatsu, Shizuoka",Japanese Common Test & University Exams
139,Gifu Kita High School,"Gifu City, Gifu",Japanese Common Test & University Exams
140,Kano High School,"Gifu City, Gifu",Japanese Common Test & University Exams
141,Zushi Kaisei High School,"Zushi, Kanagawa",Japanese Common Test & University Exams
142,Kamakura Gakuen High School,"Kamakura, Kanagawa",Japanese Common Test & University Exams
143,Yokohama Kyoritsu Gakuen,"Yokohama, Kanagawa",Japanese Common Test & University Exams
144,Yokohama Futaba High School,"Yokohama, Kanagawa",Japanese Common Test & University Exams
145,Kanto Gakuin Mutsuura High School,"Yokohama, Kanagawa",Japanese Common Test & University Exams
146,Suda High School,"Nagoya, Aichi",Japanese Common Test & University Exams
147,Zeshin High School,Aichi,Japanese Common Test & University Exams
148,Yokkaichi High School,"Yokkaichi, Mie",Japanese Common Test & University Exams
149,Ise High School,"Ise, Mie",Japanese Common Test & University Exams
150,Hikone Higashi High School,"Hikone, Shiga",Japanese Common Test & University Exams
151,Zeze High School,"Otsu, Shiga",Japanese Common Test & University Exams
152,Nara High School,"Nara City, Nara",Japanese Common Test & University Exams
153,Unebi High School,"Kashihara, Nara",Japanese Common Test & University Exams
154,Wakayama Prefectural Toin High School,"Wakayama City, Wakayama",Japanese Common Test & University Exams
155,Hidaka High School,Wakayama,Japanese Common Test & University Exams
156,Ono High School,"Ono, Hyogo",Japanese Common Test & University Exams
157,Kakogawa Higashi High School,"Kakogawa, Hyogo",Japanese Common Test & University Exams
158,Takarazuka Kita High School,"Takarazuka, Hyogo",Japanese Common Test & University Exams
159,Mikage High School,"Kobe, Hyogo",Japanese Common Test & University Exams
160,Imabari Nishi High School,"Imabari, Ehime",Japanese Common Test & University Exams
161,Uwajima Higashi High School,"Uwajima, Ehime",Japanese Common Test & University Exams
162,Kochi Nishi High School,"Kochi City, Kochi",Japanese Common Test & University Exams
163,Osaka International School (OIS),Osaka,IB Diploma Programme (DP)
164,K. International School Tokyo (KIST),Tokyo (Koto),IB Diploma Programme (DP)
165,Aoba-Japan International School,Tokyo (Hikarigaoka),IB Diploma Programme (DP)
166,Canadian Academy,"Kobe, Hyogo",IB Diploma Programme (DP)
167,Yokohama International School,"Yokohama, Kanagawa",IB Diploma Programme (DP)
168,The British School in Tokyo,Tokyo (Shibuya),GCE A-Levels / Cambridge CIE
169,Harrow International School Appi,Iwate Prefecture,GCE A-Levels / Cambridge CIE
170,Rugby School Japan,Chiba Prefecture,GCE A-Levels / Cambridge CIE
171,The American School in Japan (ASIJ),Tokyo (Chofu),American AP Exams
172,International School of the Sacred Heart,Tokyo (Hiroo),American AP Exams
173,Seisen International School,Tokyo (Setagaya),IB Diploma Programme (DP)
174,St. Mary's International School,Tokyo (Setagaya),IB Diploma Programme (DP)
175,UWC ISAK Japan,"Karuizawa, Nagano",IB Diploma Programme (DP)
176,Nishimachi International School,Tokyo (Minato),Integrated / High School Exit Preparation
177,Tokyo International School,Tokyo (Minato),IB Middle Years/Exit Track
178,Kyoto International School,Kyoto,IB Diploma Programme Track
179,Nagoya International School,"Nagoya, Aichi",IB Diploma Programme (DP)
180,Fukuoka International School,Fukuoka,IB Diploma Programme (DP)
181,Hiroshima International School,Hiroshima,IB Diploma Programme (DP)
182,Tohoku International School,"Sendai, Miyagi",American High School Diploma & AP
183,Hokkaido International School,"Sapporo, Hokkaido",American High School Diploma & AP
184,Okinawa Christian School International,Okinawa,American High School Diploma & AP
185,Saint Maur International School,"Yokohama, Kanagawa",IB Diploma Programme / AP
186,Marist Brothers International School,"Kobe, Hyogo",American AP Exams
187,Columbia International School,"Tokorozawa, Saitama",Canadian Curriculum / AP
188,Horizon Japan International School,"Yokohama, Kanagawa",IB Diploma Programme (DP)
189,Global Indian International School Tokyo,Tokyo (Edogawa),IB DP & CBSE India Board
190,India International School in Japan,Tokyo (Koto),CBSE India Board Exams
191,Chiba Prefectural Makuhari International Track,Chiba,IB Diploma & Japanese Exams
192,Tokyo Metropolitan Kokusai High School,Tokyo (Meguro),IB Diploma & Japanese Exams
193,Tamagawa Academy (IB Division),Tokyo (Machida),IB Diploma Programme (DP)
194,Ritsumeikan Uji High School (IB Track),"Uji, Kyoto",IB Diploma Programme (DP)
195,Senri International School,Osaka,Integrated Japanese/International Track
196,Kaetsu Ariake High School,Tokyo (Koto),Honors English & Global Track Exams
197,Kanto Gakuin University High School (Global),Yokohama,Global High School Track Exams
198,ICU High School (International Christian Univ.),"Mitaka, Tokyo",Special Returnee / College Prep Exams
199,Keio Academy of New York (Japan Office/Track),Tokyo Liaison,US Diploma & Keio Internal Track
200,Doshisha International High School,"Kyotanabe, Kyoto",Special Japanese & University Track
