Ranking,EMAIL0,Name,Location,Category,Curriculum Pathway,
1,08/18/26,K. International School Tokyo (KIST),"Koto-ku, Tokyo",International School,Full English IB DP,
2,08/18/26,Osaka International School of Kwansei Gakuin,"Minoh, Osaka",International School,Full English IB DP,
3,x,Nishi-Yamato Gakuen High School,"Kansai Region, Nara",Domestic Private Track,MEXT Dual-Language IB DP,NO IB
4,08/18/26,Yokohama International School (YIS),"Yokohama, Kanagawa",International School,Full English IB DP,
5,08/18/26,UWC ISAK Japan,"Karuizawa, Nagano",International School,Full English IB DP,
6,08/18/26,Aoba-Japan International School,"Nerima-ku, Tokyo",International School,Full English IB DP,
7,08/17/26,Tokyo Metropolitan Kokusai High School,"Meguro-ku, Tokyo",Domestic Public Track,MEXT Dual-Language / English DP,
8,08/18/26,Canadian Academy,"Kobe, Hyogo",International School,Full English IB DP,
9,x,Eiko Gakuen High School (IB Section),"Kamakura, Kanagawa",Domestic Private Track,MEXT Dual IB Layout,NO IB
10,08/18/26,Seisen International School,"Setagaya-ku, Tokyo",International School,Full English IB DP,
11,08/18/26,Ritsumeikan Uji Senior High School,"Uji, Kyoto",Domestic Private Track,Dual-Language / English IB DP,
12,08/18/26,St. Mary's International School,"Setagaya-ku, Tokyo",International School,Full English IB DP,
13,08/18/26,Tokyo Gakugei University International Secondary,"Nerima-ku, Tokyo",Domestic National Track,MEXT Dual-Language IB DP,
14,08/17/26,Saint Maur International School,"Yokohama, Kanagawa",International School,Full English IB DP,
15,08/18/26,Senri International School of Kwansei Gakuin (SIS),"Toyonaka, Osaka",Domestic Private Track,Dual IB Framework,
16,,NUCB International College,"Nisshin, Aichi",Domestic Private Track,Full English IB DP,
17,,Horizon Japan International School,"Yokohama, Kanagawa",International School,Full English IB DP,
18,,Asahigaoka High School (IB Division),"Nagoya, Aichi",Domestic Public Track,MEXT Dual-Language IB DP,
19,,Osaka YMCA International School,"Osaka City, Osaka",International School,Full English IB DP,
20,,AICJ Senior High School,"Hiroshima City, Hiroshima",Domestic Private Track,English Medium IB DP Track,
21,,Tamagawa Academy (Tamagawa Gakuen),"Machida, Tokyo",Domestic Private Track,Dual-Language / English IB DP,
22,,Deutsche Schule Kobe International,"Kobe, Hyogo",International School,English/German IB DP,
23,,Nagoya International School,"Nagoya, Aichi",International School,Full English IB DP,
24,,Hiroshima Prefectural Hiroshima Global Academy,"Osakikamijima, Hiroshima",Domestic Public Track,MEXT Dual-Language IB DP,
25,,Kanagawa Prefectural Yokohama Kokusai High,"Yokohama, Kanagawa",Domestic Public Track,MEXT Dual-Language IB DP,
26,,Gunma Kokusai Academy High School,"Ota, Gunma",Domestic Private Track,English Medium / Dual IB DP,
27,,Hiroshima International School,Hiroshima City,International School,Full English IB DP,
28,,Katoh Gakuen Gyoshu High School,"Numazu, Shizuoka",Domestic Private Track,English/Dual-Language IB DP,
29,,"Senior High School at Sakado, U. of Tsukuba","Sakado, Saitama",Domestic National Track,MEXT Dual-Language IB DP,
30,,Saitama Municipal Omiya International,"Saitama City, Saitama",Domestic Public Track,MEXT Dual-Language IB DP,
31,,Fukuoka International School,Fukuoka City,International School,Full English IB DP,
32,,Tokyo International School,"Minato-ku, Tokyo",International School,Full English IB DP,
33,,Linden Hall High School,"Chikushino, Fukuoka",Domestic Private Track,Full English IB DP Track,
34,,Meikei High School,"Tsukuba, Ibaraki",Domestic Private Track,MEXT Dual-Language IB DP,
35,,Marist Brothers International School,"Kobe, Hyogo",International School,English IB DP Track,
36,,Nagoya International Junior/Senior High,"Nagoya, Aichi",Domestic Private Track,English Medium IB DP,
37,,Tsukuba International School,"Tsukuba, Ibaraki",International School,Full English IB DP Track,
38,,Teikyo University Kani High School,"Kani, Gifu",Domestic Private Track,MEXT Dual-Language / English,
