74,,Aichi Prefectural Asahigaoka High School,Nagoya,Aichi,NO GCE NO IB,,
40,08/20/26,AICJ Junior and Senior High School,Hiroshima,Hiroshima,,,
100,08/20/26,AIE International High School,Awaji,Hyogo,,,
61,,Akita Prefectural Tenouji High School,Katagami,Akita,NO GCE NO IB,,
7,08/18/26,Aoba-Japan International School (A-JIS),Nerima Ward,Tokyo,,,Same as Aoba International Academy. They merged.
44,x,Asahikawa Jitsugyo High School,Asahikawa,Hokkaido,NO GCE NO IB,,
6,08/18/26,Canadian Academy,Kobe,Hyogo,,,
51,x,Canadian International School Tokyo,Shinagawa Ward,Tokyo,NO GCE NO IB,,
43,x,Chiba Prefectural Narita Kokusai High School,Narita,Chiba,NO GCE NO IB,,
29,x,Chiyoda International School Tokyo (CHIST),Chiyoda Ward,Tokyo,PERMANENTLY CLOSED,,
89,,Ehime Prefectural Matsuyama East High School,Matsuyama,Ehime,NO GCE NO IB,,
,X,Eiko Gakuen High School (IB Section),"Kamakura, Kanagawa",Domestic Private Track,MEXT Dual IB Layout,NO IB,
69,,Fukui Prefectural Koshi High School,Fukui,Fukui,NO GCE NO IB,,
12,08/19/26,Fukuoka International School (FIS),Fukuoka,Fukuoka,,,
91,,Fukuoka Prefectural Shuyukan High School,Fukuoka,Fukuoka,NO GCE NO IB,,
63,,Fukushima Prefectural Asaka High School,Koriyama,Fukushima,NO GCE NO IB,,
72,,Gifu Prefectural Kano High School,Gifu,Gifu,NO GCE NO IB,,
9,08/17/26,Global Indian International School (GIIS),Edogawa Ward,Tokyo,,,
18,08/19/26,Gunma Kokusai Academy,Ota,Gunma,,,
52,x,Gyosei International School,Kisarazu,Chiba,NO GCE NO IB,,
99,,Hakuba International School,Hakuba,Nagano,NO GCE NO IB,,
11,08/19/26,Hiroshima International School (HIS),Hiroshima,Hiroshima,,,
22,08/19/26,Hiroshima Prefectural Hiroshima Global Academy,Osakakamiijima,Hiroshima,,,
85,,Hiroshima Prefectural Hiroshima Kokutaiji High School,Hiroshima,Hiroshima,NO GCE NO IB,,
13,x,Hokkaido International School,Sapporo,Hokkaido,NO IB,,
15,08/19/26,Horizon Japan International School,Yokohama,Kanagawa,,,
57,,Hoshino Gakuen High School,Kawagoe,Saitama,NO GCE NO IB,,
79,,Hyogo Prefectural Kobe High School,Kobe,Hyogo,NO GCE NO IB,,
49,x,Ikuei Nishi High School,Nara,Nara,NO GCE NO IB,,
60,,Iwate Prefectural Morioka Third High School,Morioka,Iwate,NO GCE NO IB,,
1,08/18/26,K. International School Tokyo (KIST),Koto Ward,Tokyo,,,
88,,Kagawa Prefectural Takamatsu High School,Takamatsu,Kagawa,NO GCE NO IB,,
97,,Kagoshima Prefectural Tsurumaru High School,Kagoshima,Kagoshima,NO GCE NO IB,,
19,08/19/26,Kaichi Nihonbashi Gakuen,Chuo Ward,Tokyo,,,
68,,Kanazawa Nishi High School,Kanazawa,Ishikawa,NO GCE NO IB,,
37,x,Kansai Gaidai University Honors High School,Hirakata,Osaka,NO SUCH SCHOOL,,
56,x,Kanto International High School,Shinjuku Ward,Tokyo,NO GCE NO IB,,
21,08/19/26,Katoh Gakuen Gyoshu High School,Numazu,Shizuoka,,,
39,08/20/26,Kindai University High School,Higashiosaka,Osaka,,,
90,,Kochi Prefectural Kochi West High School,Kochi,Kochi,NO GCE NO IB,,
31,x,Koka Gakuen Junior & Senior High School,Chofu,Tokyo,NO GCE NO IB,,
94,,Kumamoto Prefectural Kumamoto High School,Kumamoto,Kumamoto,NO GCE NO IB,,
45,x,Kyoto Municipal Hiyoshigaoka Senior High School,Kyoto,Kyoto,NO GCE NO IB,,
77,,Kyoto Prefectural Yamashiro High School,Kyoto,Kyoto,NO GCE NO IB,,
47,DONE,Linden Hall High School,Chikushino,Fukuoka,,,
50,08/20/26,Marist Brothers International School,Kobe,Hyogo,,,
58,,Meiji Gakuin High School,Minato Ward,Tokyo,NO GCE NO IB,,
26,08/19/26,Meikei High School,Tsukuba,Ibaraki,,,
75,,Mie Prefectural Tsu High School,Tsu,Mie,NO GCE NO IB,,
42,08/20/26,Miyagi Prefectural Sendai Nika Senior High School,Sendai,Miyagi,,,
96,,Miyazaki Prefectural Miyazaki Minami High School,Miyazaki,Miyazaki,NO GCE NO IB,,
35,08/20/26,Musashino University Chiyoda High School,Chiyoda Ward,Tokyo,,,
54,08/20/26,Nagano Nihon University High School,Nagano,Nagano,,,
71,,Nagano Prefectural Yashiro High School,Chikuma,Nagano,NO GCE NO IB,,
93,,Nagasaki Prefectural Nagasaki Nishi High School,Nagasaki,Nagasaki,NO GCE NO IB,,
14,08/19/26,Nagoya International School (NIS),Nagoya,Aichi,,,
80,,Nara Prefectural Unebi High School,Kashihara,Nara,NO GCE NO IB,,
66,,Niigata Prefectural Kokusai Joho High School,Niigata,Niigata,NO GCE NO IB,,
28,x,Nishi-Yamato Gakuen High School,Kawai,Nara,NO IB,,
30,08/19/26,NUCB International College,Nisshin,Aichi,,,
,08/19/26,NUCB International College,"Nisshin, Aichi",Domestic Private Track,Full English IB DP,,
95,,Oita Prefectural Oita Uenozaoka High School,Oita,Oita,NO GCE NO IB,,
41,x,Okayama Ichinomiya High School,Okayama,Okayama,NO GCE NO IB,,
84,,Okayama Prefectural Okayama Asahi High School,Okayama,Okayama,NO GCE NO IB,,
98,,Okinawa Prefectural Kaiho High School,Shimajiri,Okinawa,NO GCE NO IB,,
2,08/18/26,Osaka International School of Kwansei Gakuin (OIS),Minoh,Osaka,,,
48,08/20/26,Osaka Jogakuin Senior High School,Osaka,Osaka,,,
78,,Osaka Prefectural Kitano High School,Osaka,Osaka,NO GCE NO IB,,
