1,08/18/26,K. International School Tokyo (KIST),Koto Ward,Tokyo,,
2,08/18/26,Osaka International School of Kwansei Gakuin (OIS),Minoh,Osaka,,
3,08/18/26,Yokohama International School (YIS),Yokohama,Kanagawa,,
4,08/18/26,Seisen International School,Setagaya Ward,Tokyo,,
5,08/18/26,St. Mary's International School,Setagaya Ward,Tokyo,,
6,08/18/26,Canadian Academy,Kobe,Hyogo,,
7,08/18/26,Aoba-Japan International School (A-JIS),Nerima Ward,Tokyo,,
8,08/17/26,Saint Maur International School,Yokohama,Kanagawa,,
9,08/17/26,Global Indian International School (GIIS),Edogawa Ward,Tokyo,,
10,08/19/26,Osaka YMCA International School (OYIS),Osaka,Osaka,,
11,08/19/26,Hiroshima International School (HIS),Hiroshima,Hiroshima,,
12,08/19/26,Fukuoka International School (FIS),Fukuoka,Fukuoka,,
13,x,Hokkaido International School,Sapporo,Hokkaido,NO IB,
14,08/19/26,Nagoya International School (NIS),Nagoya,Aichi,,
15,08/19/26,Horizon Japan International School,Yokohama,Kanagawa,,
16,08/17/26,Tamagawa Academy,Machida,Tokyo,,
17,08/17/26,Tokyo Metropolitan Kokusai High School,Meguro Ward,Tokyo,,
18,08/19/26,Gunma Kokusai Academy,Ota,Gunma,,
19,08/19/26,Kaichi Nihonbashi Gakuen,Chuo Ward,Tokyo,,
20,08/19/26,Saitama Municipal Omiya International Secondary School,Saitama,Saitama,,
21,08/19/26,Katoh Gakuen Gyoshu High School,Numazu,Shizuoka,,
22,08/19/26,Hiroshima Prefectural Hiroshima Global Academy,Osakakamiijima,Hiroshima,,
23,08/18/26,Tokyo Gakugei University International Secondary School,Nerima Ward,Tokyo,,
24,08/18/26,Ritsumeikan Uji Senior High School,Uji,Kyoto,,
25,08/18/26,UWC ISAK Japan,Karuizawa,Nagano,,
26,08/19/26,Meikei High School,Tsukuba,Ibaraki,,
27,08/19/26,Senior High School at Sakado (University of Tsukuba),Sakado,Saitama,,
28,x,Nishi-Yamato Gakuen High School,Kawai,Nara,NO IB,
29,x,Chiyoda International School Tokyo (CHIST),Chiyoda Ward,Tokyo,PERMANENTLY CLOSED,
30,08/19/26,NUCB International College,Nisshin,Aichi,,
31,,Koka Gakuen Junior & Senior High School,Chofu,Tokyo,,
32,,Otsuma Nakano Senior High School,Nakano Ward,Tokyo,,
33,,Senzoku Gakuen High School,Kawasaki,Kanagawa,,
34,,Shukoh Junior High School / Sendai Ikuei Gakuen,Sendai,Miyagi,,
35,,Musashino University Chiyoda High School,Chiyoda Ward,Tokyo,,
36,,Shizuoka Salesio Senior High School,Shizuoka,Shizuoka,,
37,,Kansai Gaidai University Honors High School,Hirakata,Osaka,,
38,,Osaka Prefectural Suito Kokusai High School,Osaka,Osaka,,
39,,Kindai University High School,Higashiosaka,Osaka,,
40,,AICJ Junior and Senior High School,Hiroshima,Hiroshima,,
41,,Okayama Ichinomiya High School,Okayama,Okayama,,
42,,Miyagi Prefectural Sendai Nika Senior High School,Sendai,Miyagi,,
43,,Chiba Prefectural Narita Kokusai High School,Narita,Chiba,,
44,,Asahikawa Jitsugyo High School,Asahikawa,Hokkaido,,
45,,Kyoto Municipal Hiyoshigaoka Senior High School,Kyoto,Kyoto,,
46,,Tsukuba International School,Tsukuba,Ibaraki,,
47,,Linden Hall High School,Chikushino,Fukuoka,,
48,,Osaka Jogakuin Senior High School,Osaka,Osaka,,
49,,Ikuei Nishi High School,Nara,Nara,,
50,,Marist Brothers International School,Kobe,Hyogo,,
51,,Canadian International School Tokyo,Shinagawa Ward,Tokyo,,
52,,Gyosei International School,Kisarazu,Chiba,,
53,,Yamanashi Gakuin High School,Kofu,Yamanashi,,
54,,Nagano Nihon University High School,Nagano,Nagano,,
55,,Tokai Gakuen High School,Nagoya,Aichi,,
56,,Kanto International High School,Shinjuku Ward,Tokyo,,
57,,Hoshino Gakuen High School,Kawagoe,Saitama,,
58,,Meiji Gakuin High School,Minato Ward,Tokyo,,
59,,Ritsumeikan Keisho Senior High School,Ebetsu,Hokkaido,,
60,,Iwate Prefectural Morioka Third High School,Morioka,Iwate,,
61,,Akita Prefectural Tenouji High School,Katagami,Akita,,
62,,Yamagata Prefectural Higashi High School,Yamagata,Yamagata,,
63,,Fukushima Prefectural Asaka High School,Koriyama,Fukushima,,
64,,Tochigi Prefectural Utsunomiya Central High School,Utsunomiya,Tochigi,,
65,,Saitama Prefectural Inagakuen Comprehensive High School,Ina,Saitama,,
66,,Niigata Prefectural Kokusai Joho High School,Niigata,Niigata,,
67,,Toyama Prefectural Toyama High School,Toyama,Toyama,,
68,,Kanazawa Nishi High School,Kanazawa,Ishikawa,,
69,,Fukui Prefectural Koshi High School,Fukui,Fukui,,
70,,Yamanashi Prefectural Kofu First High School,Kofu,Yamanashi,,
71,,Nagano Prefectural Yashiro High School,Chikuma,Nagano,,
72,,Gifu Prefectural Kano High School,Gifu,Gifu,,
73,,Shizuoka Prefectural Mishima Kita High School,Mishima,Shizuoka,,
74,,Aichi Prefectural Asahigaoka High School,Nagoya,Aichi,,
75,,Mie Prefectural Tsu High School,Tsu,Mie,,
76,,Shiga Prefectural Zeze High School,Otsu,Shiga,,
77,,Kyoto Prefectural Yamashiro High School,Kyoto,Kyoto,,
78,,Osaka Prefectural Kitano High School,Osaka,Osaka,,
79,,Hyogo Prefectural Kobe High School,Kobe,Hyogo,,
80,,Nara Prefectural Unebi High School,Kashihara,Nara,,
81,,Wakayama Prefectural Hidaka High School,Gobo,Wakayama,,
82,,Tottori Prefectural Kurayoshi Higashi High School,Kurayoshi,Tottori,,
83,,Shimane Prefectural Masuda High School,Masuda,Shimane,,
84,,Okayama Prefectural Okayama Asahi High School,Okayama,Okayama,,
85,,Hiroshima Prefectural Hiroshima Kokutaiji High School,Hiroshima,Hiroshima,,
86,,Yamaguchi Prefectural Iwakuni High School,Iwakuni,Yamaguchi,,
87,,Tokushima Prefectural Jonan High School,Tokushima,Tokushima,,
88,,Kagawa Prefectural Takamatsu High School,Takamatsu,Kagawa,,
89,,Ehime Prefectural Matsuyama East High School,Matsuyama,Ehime,,
90,,Kochi Prefectural Kochi West High School,Kochi,Kochi,,
91,,Fukuoka Prefectural Shuyukan High School,Fukuoka,Fukuoka,,
92,,Saga Prefectural Saga Nishi High School,Saga,Saga,,
93,,Nagasaki Prefectural Nagasaki Nishi High School,Nagasaki,Nagasaki,,
94,,Kumamoto Prefectural Kumamoto High School,Kumamoto,Kumamoto,,
95,,Oita Prefectural Oita Uenozaoka High School,Oita,Oita,,
96,,Miyazaki Prefectural Miyazaki Minami High School,Miyazaki,Miyazaki,,
97,,Kagoshima Prefectural Tsurumaru High School,Kagoshima,Kagoshima,,
98,,Okinawa Prefectural Kaiho High School,Shimajiri,Okinawa,,
99,,Hakuba International School,Hakuba,Nagano,,
100,,AIE International High School,Awaji,Hyogo,,
,,,,,,
,,Eiko Gakuen High School (IB Section),"Kamakura, Kanagawa",Domestic Private Track,MEXT Dual IB Layout,NO IB
,08/18/26,Senri International School of Kwansei Gakuin (SIS),"Toyonaka, Osaka",Domestic Private Track,Dual IB Framework,
,,NUCB International College,"Nisshin, Aichi",Domestic Private Track,Full English IB DP,
