,x,A-Level Institute       ,에이레벨연구소,NO SUCH SCHOOL
,08/20/26,ASAP Academy            ,에이셉아카데미,GCE and IB
1,08/19/26,Atherton International School,,
,08/19/26,BEK Secondary Gangnam   ,영국교육진흥원 강남,
2,08/29/26,British Education Korea,,
,08/20/26,Campbell Academy        ,강남캠벨아카데미,
,x,G-Edu Academy           ,지이에듀학원,NO SUCH SCHOOL
,08/20/26,Global Vision Education  ,글로벌비전컨설팅,consultancy for international studies
,x,HPrep Academy           ,에이치프랩아카데미,NO GCE NO IB
,08/20/26,Hyper Academy,NO VALID EMAIL,GCE and IB
,08/20/26,Korea Foreign School,Seoul,GCE
,x,KP Education             ,KP학원,NO SUCH SCHOOL
,08/20/26,Lighthouse International Academy        ,등대글로벌아카데미 - Hagwon Division,SCHOOL. BUT NO GCE/IB. EMAILED ANYWAY
,08/20/26,MasterPrep              ,마스터프렙,IB
,08/20/26,Paul Academy            ,폴아카데미,IB
,x,Starprep Academy        ,스타프랩어학원,NO GCE NO IB
,08/21/26,Tutopiya Seoul ,,GCE and IB
,08/21/26,Smartious Homeschool & eSchool,,GCE and IB
,08/21/26,SIS Gwangju ,,GCE and IB
,TOTAL,14,,
,08/21/26,Korea International Institute (KII Global),,GCE
,08/21/26,COTE College / EduAgora,MIGHT BE GLOBAL? FOR JAPAN?,GCE
,08/21/26,CEC Academy,MIGHT BE GLOBAL? FOR JAPAN?,GCE
,08/21/26,British Education Centre (BEC Education) ,MIGHT BE GLOBAL? FOR JAPAN?,GCE
,08/21/26,"Bloomsbury Education (Gangnam, Seoul)",,GCE
,08/21/26,Crimson Global Academy (CGA),MIGHT BE GLOBAL? FOR JAPAN?,
,08/21/26,CambriLearn & Cambridge Home School Online (CHSO),MIGHT BE GLOBAL? FOR JAPAN?,
,,"Pearson Approved International Centres: Centers like KII, COTE College, and BEC administer official Edexcel IAL exams.",,
,,British Council Korea / Cambridge School Search,,
